case,source,rank,steps,total_timestep_s,avg_step_s,phase,phase_total_s,instances,avg_ms,notes
fortran_current_default_1d,plain_run,all,5,8.423034,1.684607,timestep,8.423034,5,1684.607,"Current dirty Fortran tree after gating CHANNEL_USE_LOCAL_2D_FFT off; compute loop completed, MPI_Finalize segfaulted after loop"
fortran_current_forced_2d,plain_run,all,5,8.542021,1.708404,timestep,8.542021,5,1708.404,"Current dirty Fortran tree before/default-equivalent forced 2D run; compute loop completed, MPI_Finalize segfaulted after loop"
fortran_oldfft_clean,plain_run,all,5,8.102031,1.620406,timestep,8.102031,5,1620.406,"Detached HEAD worktree with current dns.in copied in; cleaner old-FFT baseline but not same dirty codebase"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,timestep,8.494588,5,1698.918,".worktrees/kokkos-cpp-port/profiles/fortran_dns_npy2_oldfft_clean_rank1.nsys-rep"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,rk_substep,8.471289,15,564.753,""
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,linsolve_velocity,3.415561,15,227.704,""
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_to_physical,1.389736,15,92.649,"old local path"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_to_physical_RFT,0.807256,48,16.818,"x C2R"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_to_physical_IFT,0.286684,48,5.973,"z C2C"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_to_physical_assemble_vvdz,0.235648,48,4.909,""
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_to_physical_repack_zTOx_local,0.126663,48,2.639,""
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_back_and_build_rhs,3.066303,15,204.420,"old local path"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_back_HFT,1.479506,90,16.439,"x R2C"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_back_FFT,0.511259,90,5.681,"z C2C"
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_back_buildrhs,0.544544,90,6.050,""
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_back_build_products,0.324009,90,3.600,""
fortran_oldfft_clean,nsys_nvtx,rank1,5,8.494588,1698.918,transform_back_repack_xTOz_local,0.202207,90,2.247,""
fortran_oldfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_DtoH,0.674741,261,2.585,"P2P present in this Fortran trace"
fortran_oldfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_HtoD,0.301824,3954,0.076,""
fortran_oldfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_PtoP,0.258662,97,2.667,""
fortran_oldfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_DtoD,0.009473,97,0.098,""
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,timestep,8.865258,5,1773.052,".worktrees/kokkos-cpp-port/profiles/fortran_dns_npy2_2dfft_clean_rank1.nsys-rep; CHANNEL_USE_LOCAL_2D_FFT-style path"
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,rk_substep,8.846302,15,589.753,""
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,linsolve_velocity,3.459907,15,230.660,""
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_to_physical,1.451141,15,96.743,"2D local path"
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_to_physical_RFT2D,1.291449,48,26.905,"2D C2R"
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_to_physical_assemble_vvdx_2d,0.259701,48,5.410,""
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_back_and_build_rhs,3.342608,15,222.841,"2D local path"
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_back_HFT2D,2.387549,90,26.528,"2D R2C"
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_back_buildrhs,0.542308,90,6.026,""
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_back_build_products,0.318245,90,3.536,""
fortran_2dfft_clean,nsys_nvtx,rank1,5,8.865258,1773.052,transform_back_scatter_xTOz_2d,0.092948,90,1.033,""
fortran_2dfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_DtoH,0.671468,235,2.857,""
fortran_2dfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_HtoD,0.365104,2861,0.128,""
fortran_2dfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_PtoP,0.228246,69,3.308,"P2P present in this Fortran trace"
fortran_2dfft_clean,nsys_cuda_mem,rank1,5,,,,memcpy_DtoD,0.008356,69,0.121,""
cpp_kokkos,nsys_nvtx,rank1,5,11.655133,2331.027,timestep,11.655133,5,2331.027,".worktrees/kokkos-cpp-port/profiles/cpp_dns_npy2_after_fortran_2dfft_rank1.nsys-rep"
cpp_kokkos,nsys_nvtx,rank1,5,11.655133,2331.027,transform_to_physical_and_build_products,7.344903,15,489.660,"dominant C++ gap"
cpp_kokkos,nsys_nvtx,rank1,5,11.655133,2331.027,transform_back_local_product_fft,4.578059,90,50.867,""
cpp_kokkos,nsys_nvtx,rank1,5,11.655133,2331.027,transform_to_physical_local_inverse_fft,2.299343,45,51.097,""
